delta,a_speed,a_position,delta_theta_a,d_speed,d_position,delta_theta_d
1.1920928955078125e-06,0,0,0,0,0,0
0.13802886009216309,0,0,0,0,0,0
0.0567929744720459,0,0,0,0,0,0
0.04976296424865723,0,1,1,0,1,1
0.05138278007507324,0,4,3,0,4,3
0.05079364776611328,0,8,4,0,7,3
0.05200028419494629,0,12,4,0,11,4
0.05047488212585449,0,16,4,0,15,4
0.05172467231750488,0,20,4,0,18,3
0.05129814147949219,0,23,3,0,22,4
0.05080676078796387,0,28,5,0,26,4
0.05373501777648926,0,32,4,0,30,4
0.050542354583740234,0,36,4,0,34,4
0.0520176887512207,0,40,4,0,37,3
0.05015921592712402,0,44,4,0,41,4
0.04945564270019531,0,48,4,0,45,4
0.051140546798706055,0,52,4,0,49,4
0.04937338829040527,0,56,4,0,52,3
0.0503087043762207,0,60,4,0,56,4
0.04968905448913574,0,63,3,0,59,3
0.049906015396118164,0,67,4,0,63,4
0.05059647560119629,0,71,4,0,67,4
0.050103187561035156,0,75,4,0,71,4
0.05061841011047363,0,79,4,0,74,3
0.049184322357177734,0,83,4,0,78,4
0.05046200752258301,0,87,4,0,81,3
0.049098968505859375,0,90,3,0,85,4
0.049205780029296875,0,94,4,0,89,4
0.049447059631347656,0,98,4,0,92,3
0.049363136291503906,0,102,4,0,96,4
0.05060529708862305,0,106,4,0,100,4
0.051534175872802734,0,110,4,0,103,3
0.049857378005981445,0,114,4,0,107,4
0.05119180679321289,0,118,4,0,111,4
0.04954028129577637,0,122,4,0,115,4
0.05183768272399902,0,126,4,0,118,3
0.05327916145324707,0,130,4,0,122,4
0.05021357536315918,0,134,4,0,126,4
0.05040740966796875,0,138,4,0,130,4
0.05196857452392578,0,142,4,0,134,4
0.050295352935791016,0,146,4,0,137,3
1.0969345569610596,0,-130,16,0,-143,6
0.04972958564758301,0,-126,4,0,-140,3
0.04952359199523926,0,-122,4,0,-136,4
0.0494997501373291,0,-119,3,0,-132,4
0.05054974555969238,0,-115,4,0,-129,3
0.050009727478027344,0,-111,4,0,-125,4
0.05030965805053711,0,-107,4,0,-121,4
0.0500943660736084,0,-103,4,0,-118,3
0.05081796646118164,0,-99,4,0,-114,4
0.04985857009887695,0,-95,4,0,-110,4
0.051398515701293945,0,-91,4,0,-107,3
0.049898386001586914,0,-87,4,0,-103,4
0.050568580627441406,0,-83,4,0,-99,4
0.05003976821899414,0,-79,4,0,-96,3
0.055795907974243164,0,-75,4,0,-91,5
0.050557851791381836,0,-71,4,0,-88,3
0.04992246627807617,0,-67,4,0,-84,4
0.049744606018066406,0,-63,4,0,-80,4
0.050293684005737305,0,-60,3,0,-77,3
0.050031423568725586,0,-56,4,0,-73,4
0.05011129379272461,0,-52,4,0,-69,4
0.05024981498718262,0,-48,4,0,-66,3
0.05045795440673828,0,-44,4,0,-62,4
0.0496678352355957,0,-40,4,0,-58,4
0.04966163635253906,0,-36,4,0,-55,3
0.050505638122558594,0,-33,3,0,-51,4
0.05233025550842285,0,-28,5,0,-47,4
0.05060768127441406,0,-24,4,0,-43,4
0.05631685256958008,0,-20,4,0,-39,4
0.055886268615722656,0,-16,4,0,-35,4
0.05381488800048828,0,-12,4,0,-31,4
0.05324840545654297,0,-7,5,0,-27,4
0.05438828468322754,0,-3,4,0,-23,4
0.05370187759399414,0,1,2,0,-19,4
0.05400800704956055,0,5,4,0,-15,4
0.05474853515625,0,10,5,0,-11,4
0.05496668815612793,0,14,4,0,-7,4
0.05451011657714844,0,18,4,0,-3,4
0.05382943153381348,0,22,4,0,1,2
0.05377984046936035,0,27,5,0,5,4
0.05427837371826172,0,31,4,0,9,4
0.05335497856140137,0,35,4,0,13,4
0.05661892890930176,0,40,5,0,17,4
0.05468344688415527,0,44,4,0,21,4
0.05556488037109375,0,48,4,0,25,4
0.05539512634277344,0,53,5,0,29,4
0.05608534812927246,0,57,4,0,33,4
0.05570483207702637,0,61,4,0,37,4
0.05456137657165527,0,66,5,0,41,4
0.0550847053527832,0,70,4,0,45,4
0.052865028381347656,0,74,4,0,49,4
0.05298137664794922,0,78,4,0,53,4
0.05602622032165527,0,82,4,0,57,4
0.05348849296569824,0,86,4,0,61,4
0.05401206016540527,0,91,5,0,65,4
0.054256439208984375,0,95,4,0,69,4
0.05783987045288086,0,100,5,0,73,4
0.05356192588806152,0,103,3,0,77,4
0.054001808166503906,0,108,5,0,81,4
0.055211544036865234,0,112,4,0,85,4
0.05385327339172363,0,116,4,0,89,4
0.05546116828918457,0,121,5,0,93,4
0.054739952087402344,0,125,4,0,97,4
0.05228137969970703,0,129,4,0,101,4
0.052101850509643555,0,133,4,0,105,4
0.0536801815032959,0,137,4,0,109,4
0.05440926551818848,0,142,5,0,113,4
0.05421876907348633,0,146,4,0,117,4
0.0800313949584961,0,152,6,0,123,6
0.05329251289367676,0,156,4,0,126,3
0.06055498123168945,0,161,5,0,131,5
0.053427934646606445,0,165,4,0,135,4
0.05644059181213379,0,169,4,0,139,4
0.05666851997375488,0,174,5,0,143,4
0.05648684501647949,0,178,4,0,147,4
0.05600571632385254,0,-178,0,0,151,4
0.056574344635009766,0,-174,4,0,155,4
0.05608868598937988,0,-169,5,0,160,5
0.055272817611694336,0,-165,4,0,164,4
0.055400848388671875,0,-161,4,0,168,4
0.055635690689086914,0,-156,5,0,172,4
0.05404829978942871,0,-152,4,0,176,4
0.05441999435424805,0,-148,4,0,180,4
0.05562734603881836,0,-143,5,0,-177,3
0.05676436424255371,0,-139,4,0,-173,4
0.057181596755981445,0,-135,4,0,-169,4
0.05521535873413086,0,-130,5,0,-165,4
0.05632591247558594,0,-126,4,0,-161,4
0.061223745346069336,0,-121,5,0,-156,5
0.05669426918029785,0,-117,4,0,-152,4
0.055959224700927734,0,-112,5,0,-148,4
0.055942535400390625,0,-108,4,0,-144,4
