delta,Rx_acc,Rx_velocity,Rx_degrees,Ry_acc,Ry_velocity,Rr_degrees,Rz_acc,Rz_velocity,Rz_degrees
1.9073486328125e-05,-2.2144,0.5493,-3.488,0.0366,517.7612,68.022,1.2744,-12.6343,62.386
1.4543533325195312e-05,-2.7007,7.9956,-160.411,-0.0996,567.3218,84.902,0.605,0.3662,-95.345
1.4781951904296875e-05,-2.7007,7.9956,-160.411,-0.0996,567.3218,84.902,0.605,0.3662,-95.345
1.430511474609375e-05,-2.7007,7.9956,-160.411,-0.0996,567.3218,84.902,0.605,0.3662,-95.345
1.4543533325195312e-05,-2.7007,7.9956,-160.411,-0.0996,567.3218,84.902,0.605,0.3662,-95.345
1.3589859008789062e-05,-2.7007,7.9956,-160.411,-0.0996,567.3218,84.902,0.605,0.3662,-95.345
1.4543533325195312e-05,-4.373,13.0005,-176.726,-0.2417,582.8247,57.903,0.7158,3.8452,-112.643
2.0265579223632812e-05,-4.373,13.0005,-176.726,-0.2417,582.8247,57.903,0.7158,3.8452,-112.643
9.775161743164062e-06,-4.373,13.0005,-176.726,-0.2417,582.8247,57.903,0.7158,3.8452,-112.643
9.775161743164062e-06,-4.373,13.0005,-176.726,-0.2417,582.8247,57.903,0.7158,3.8452,-112.643
9.059906005859375e-06,-4.373,13.0005,-176.726,-0.2417,582.8247,57.903,0.7158,3.8452,-112.643
1.0251998901367188e-05,-2.231,-1.2817,-177.039,-0.0449,494.2017,31.679,0.2944,-25.8789,-114.088
1.0728836059570312e-05,-2.231,-1.2817,-177.039,-0.0449,494.2017,31.679,0.2944,-25.8789,-114.088
9.059906005859375e-06,-2.231,-1.2817,-177.039,-0.0449,494.2017,31.679,0.2944,-25.8789,-114.088
9.059906005859375e-06,-2.231,-1.2817,-177.039,-0.0449,494.2017,31.679,0.2944,-25.8789,-114.088
1.0013580322265625e-05,-2.231,-1.2817,-177.039,-0.0449,494.2017,31.679,0.2944,-25.8789,-114.088
9.5367431640625e-06,-2.231,-1.2817,-177.039,-0.0449,494.2017,31.679,0.2944,-25.8789,-114.088
8.58306884765625e-06,-1.7632,2.6245,-176.71,-0.0352,405.4565,11.92,0.4438,-11.6577,-114.45
1.049041748046875e-05,-1.7632,2.6245,-176.71,-0.0352,405.4565,11.92,0.4438,-11.6577,-114.45
8.821487426757812e-06,-1.7632,2.6245,-176.71,-0.0352,405.4565,11.92,0.4438,-11.6577,-114.45
9.5367431640625e-06,-1.7632,2.6245,-176.71,-0.0352,405.4565,11.92,0.4438,-11.6577,-114.45
1.0251998901367188e-05,-1.7632,2.6245,-176.71,-0.0352,405.4565,11.92,0.4438,-11.6577,-114.45
7.152557373046875e-06,-1.3501,-5.188,-176.232,0.0098,203.3691,0.253,0.4062,-5.8594,-115.345
8.344650268554688e-06,-1.3501,-5.188,-176.232,0.0098,203.3691,0.253,0.4062,-5.8594,-115.345
1.0251998901367188e-05,-1.3501,-5.188,-176.232,0.0098,203.3691,0.253,0.4062,-5.8594,-115.345
8.58306884765625e-06,-1.3501,-5.188,-176.232,0.0098,203.3691,0.253,0.4062,-5.8594,-115.345
8.344650268554688e-06,-1.3501,-5.188,-176.232,0.0098,203.3691,0.253,0.4062,-5.8594,-115.345
8.58306884765625e-06,-1.3501,-5.188,-176.232,0.0098,203.3691,0.253,0.4062,-5.8594,-115.345
8.344650268554688e-06,-0.979,4.9438,-175.441,0.0103,46.5088,-2.615,0.4277,-8.4839,-115.851
9.059906005859375e-06,-0.979,4.9438,-175.441,0.0103,46.5088,-2.615,0.4277,-8.4839,-115.851
8.344650268554688e-06,-0.979,4.9438,-175.441,0.0103,46.5088,-2.615,0.4277,-8.4839,-115.851
8.344650268554688e-06,-0.979,4.9438,-175.441,0.0103,46.5088,-2.615,0.4277,-8.4839,-115.851
8.58306884765625e-06,-0.979,4.9438,-175.441,0.0103,46.5088,-2.615,0.4277,-8.4839,-115.851
9.059906005859375e-06,-1.0078,-3.1128,-174.551,-0.0371,-210.8154,5.493,0.3989,13.7329,-116.049
