delta,Rx_acc,Rx_velocity,Rx_degrees,Ry_acc,Ry_velocity,Rr_degrees,Rz_acc,Rz_velocity,Rz_degrees
1.811981201171875e-05,-1.7139,-4.5166,-2.159,0.0396,-185.791,-13.145,1.3452,2.8687,-19.374
0.010092020034790039,-1.8052,7.8125,-0.994,0.0303,231.0791,-1.082,1.3433,-3.479,-21.088
0.010108232498168945,-2.1245,7.2632,-0.489,0.0146,336.792,15.375,1.1572,-2.1362,-21.78
0.010120630264282227,-2.1245,7.2632,-0.489,0.0146,336.792,15.375,1.1572,-2.1362,-21.78
0.010099411010742188,-2.1245,7.2632,-0.489,0.0146,336.792,15.375,1.1572,-2.1362,-21.78
0.010080575942993164,-2.2549,9.6436,-0.066,0.0083,371.3989,34.266,1.0234,-4.2725,-22.368
0.010098695755004883,-2.2549,9.6436,-0.066,0.0083,371.3989,34.266,1.0234,-4.2725,-22.368
0.010091543197631836,-2.2515,-3.2349,0.297,0.0078,343.2617,52.943,0.7974,-4.6997,-23.093
0.010078907012939453,-2.2515,-3.2349,0.297,0.0078,343.2617,52.943,0.7974,-4.6997,-23.093
0.010072946548461914,-2.2515,-3.2349,0.297,0.0078,343.2617,52.943,0.7974,-4.6997,-23.093
0.010074138641357422,-2.0098,-9.7656,0.005,0.0884,244.3237,68.187,0.6338,-4.5166,-23.983
0.010075807571411133,-2.0098,-9.7656,0.005,0.0884,244.3237,68.187,0.6338,-4.5166,-23.983
0.010076045989990234,-2.0098,-9.7656,0.005,0.0884,244.3237,68.187,0.6338,-4.5166,-23.983
0.010071277618408203,-1.8643,11.5356,-0.099,0.0415,155.6396,78.003,0.6089,3.2349,-24.56
0.010080575942993164,-1.8643,11.5356,-0.099,0.0415,155.6396,78.003,0.6089,3.2349,-24.56
0.010072469711303711,-1.7617,6.5308,1.203,-0.0483,-8.7891,81.343,0.5649,3.7231,-23.758
0.010110616683959961,-1.7617,6.5308,1.203,-0.0483,-8.7891,81.343,0.5649,3.7231,-23.758
0.010083436965942383,-1.7617,6.5308,1.203,-0.0483,-8.7891,81.343,0.5649,3.7231,-23.758
0.010104894638061523,-1.7822,-14.7095,0.615,-0.04,-111.7554,77.97,0.5854,-3.479,-24.532
0.010082483291625977,-1.7822,-14.7095,0.615,-0.04,-111.7554,77.97,0.5854,-3.479,-24.532
0.010084867477416992,-1.7822,-14.7095,0.615,-0.04,-111.7554,77.97,0.5854,-3.479,-24.532
0.01007533073425293,-1.9976,1.4648,0.417,0.0693,-234.4971,69.088,0.6704,1.0986,-24.758
0.010076045989990234,-1.9976,1.4648,0.417,0.0693,-234.4971,69.088,0.6704,1.0986,-24.758
0.010083436965942383,-2.1313,-9.1553,0.187,0.041,-290.4663,56.19,0.7002,2.7466,-24.988
0.010082721710205078,-2.1313,-9.1553,0.187,0.041,-290.4663,56.19,0.7002,2.7466,-24.988
0.010126829147338867,-2.1313,-9.1553,0.187,0.041,-290.4663,56.19,0.7002,2.7466,-24.988
0.010112762451171875,-2.1846,-7.9956,0.324,0.0171,-316.4673,41.237,0.9023,6.1035,-24.933
0.010076522827148438,-2.1846,-7.9956,0.324,0.0171,-316.4673,41.237,0.9023,6.1035,-24.933
0.010083198547363281,-2.1846,-7.9956,0.324,0.0171,-316.4673,41.237,0.9023,6.1035,-24.933
0.010100603103637695,-2.1294,-4.3335,0.236,0.0215,-294.9219,26.922,1.0176,6.2866,-24.829
0.010074853897094727,-2.1294,-4.3335,0.236,0.0215,-294.9219,26.922,1.0176,6.2866,-24.829
0.010076284408569336,-2.1294,-4.3335,0.236,0.0215,-294.9219,26.922,1.0176,6.2866,-24.829
0.010115623474121094,-1.9365,-5.249,0.11,-0.0132,-200.9277,15.634,1.1606,3.2959,-24.961
0.010118961334228516,-1.9365,-5.249,0.11,-0.0132,-200.9277,15.634,1.1606,3.2959,-24.961
0.010075807571411133,-1.8672,-5.249,0.055,0.0015,-117.7368,9.091,1.2754,2.1973,-25.065
0.010092496871948242,-1.8672,-5.249,0.055,0.0015,-117.7368,9.091,1.2754,2.1973,-25.065
0.010087966918945312,-1.8672,-5.249,0.055,0.0015,-117.7368,9.091,1.2754,2.1973,-25.065
0.010098457336425781,-1.7686,4.6997,0.077,0.0239,29.4189,8.361,1.3232,-2.0752,-25.439
0.010087251663208008,-1.7686,4.6997,0.077,0.0239,29.4189,8.361,1.3232,-2.0752,-25.439
