delta,a_speed,a_position,b_speed,b_position
4.76837158203125e-06,0,0,0,0
0.05774331092834473,0,0,0,0
0.05007290840148926,0,0,0,0
0.05008268356323242,0,5,0,5
0.05007767677307129,0,19,0,20
0.050084829330444336,0,34,0,35
0.05014204978942871,0,51,0,52
0.05015444755554199,0,68,0,68
0.05007743835449219,0,85,0,85
0.05007743835449219,0,104,0,104
0.05007505416870117,0,120,0,120
0.050074100494384766,0,138,0,138
0.05007576942443848,0,154,0,154
0.05007672309875488,0,171,0,171
0.05007672309875488,0,-173,0,-173
0.05008244514465332,0,-155,0,-156
0.05008196830749512,0,-138,0,-139
0.05008196830749512,0,-114,0,-116
0.050071001052856445,0,-97,0,-99
0.0500795841217041,0,-81,0,-83
0.05007052421569824,0,-64,0,-66
0.05007457733154297,0,-48,0,-49
0.05014300346374512,0,-32,0,-33
0.05007529258728027,0,-14,0,-16
0.05007529258728027,0,2,0,0
0.050074100494384766,0,19,0,17
0.05007457733154297,0,35,0,33
0.05007600784301758,0,52,0,50
0.05007529258728027,0,70,0,67
0.05007171630859375,0,87,0,84
0.05007529258728027,0,104,0,101
0.05007624626159668,0,121,0,118
0.0500798225402832,0,138,0,135
0.05007123947143555,0,155,0,152
0.05008268356323242,0,171,0,169
0.05007290840148926,0,-174,0,-176
0.05007505416870117,0,-156,0,-160
0.05007743835449219,0,-140,0,-144
0.05008649826049805,0,-123,0,-127
0.050089359283447266,0,-106,0,-110
0.050077199935913086,0,-89,0,-93
0.05007648468017578,0,-72,0,-76
0.05007576942443848,0,-56,0,-60
0.05007457733154297,0,-40,0,-44
0.050069332122802734,0,-23,0,-27
0.05007314682006836,0,-6,0,-10
0.050078392028808594,0,11,0,7
0.05007815361022949,0,27,0,23
0.050072431564331055,0,44,0,39
0.050081491470336914,0,61,0,56
0.050069332122802734,0,78,0,73
0.0500791072845459,0,94,0,89
0.050074100494384766,0,111,0,106
0.050074100494384766,0,128,0,123
0.05007481575012207,0,144,0,139
0.050079345703125,0,161,0,156
0.05007624626159668,0,178,0,172
0.05006909370422363,0,-166,0,-172
0.050073862075805664,0,-150,0,-156
0.05010843276977539,0,-133,0,-140
0.05007672309875488,0,-116,0,-123
0.05006909370422363,0,-100,0,-106
0.050069332122802734,0,-81,0,-88
0.05008101463317871,0,-65,0,-72
0.050070762634277344,0,-47,0,-54
0.05007648468017578,0,-31,0,-38
0.050077199935913086,0,-14,0,-20
0.05007028579711914,0,2,0,-4
0.050080060958862305,0,19,0,12
0.05007672309875488,0,36,0,29
0.05007195472717285,0,53,0,45
0.050145864486694336,0,70,0,63
0.05007672309875488,0,87,0,79
0.0501408576965332,0,104,0,96
0.05007219314575195,0,120,0,112
0.05007672309875488,0,137,0,129
0.05011415481567383,0,153,0,146
0.05007576942443848,0,170,0,162
0.050142765045166016,0,-174,0,180
0.050136566162109375,0,-158,0,-166
0.05030560493469238,0,-140,0,-148
0.0500943660736084,0,-123,0,-131
0.050086021423339844,0,-104,0,-113
0.05017375946044922,0,-88,0,-96
0.05009126663208008,0,-70,0,-78
0.05010533332824707,0,-50,0,-59
0.050100088119506836,0,-32,0,-41
0.05010652542114258,0,-14,0,-23
0.050092220306396484,0,3,0,-5
0.05009937286376953,0,21,0,12
0.05015206336975098,0,38,0,29
0.05022931098937988,0,56,0,47
0.05010104179382324,0,74,0,64
0.050095319747924805,0,92,0,82
0.0500948429107666,0,109,0,100
0.05009603500366211,0,127,0,118
0.05009722709655762,0,145,0,135
0.0500950813293457,0,163,0,153
0.05015134811401367,0,180,0,170
0.05009794235229492,0,-163,0,-173
0.05008649826049805,0,-146,0,-156
0.05010223388671875,0,-125,0,-136
0.0501711368560791,0,-107,0,-117
0.0500941276550293,0,-89,0,-100
0.05009722709655762,0,-71,0,-82
0.0500946044921875,0,-54,0,-65
0.050092220306396484,0,-36,0,-47
0.05008721351623535,0,-18,0,-29
0.05008077621459961,0,0,0,-11
0.050081491470336914,0,17,0,6
0.050080299377441406,0,35,0,23
0.05008983612060547,0,52,0,40
0.050081729888916016,0,71,0,58
0.05009865760803223,0,88,0,76
0.05022120475769043,0,107,0,95
0.050080060958862305,0,124,0,112
0.050080299377441406,0,142,0,130
0.050086259841918945,0,159,0,147
0.05008816719055176,0,177,0,165
0.05008411407470703,0,-166,0,-179
0.050093889236450195,0,-148,0,-161
0.05010819435119629,0,-131,0,-144
0.05016946792602539,0,-113,0,-126
0.05008363723754883,0,-95,0,-109
0.050099849700927734,0,-77,0,-91
0.050110816955566406,0,-60,0,-74
0.05008220672607422,0,-43,0,-56
0.050168514251708984,0,-23,0,-37
0.05008697509765625,0,-6,0,-20
0.05008196830749512,0,11,0,-3
0.05008411407470703,0,28,0,14
0.05008244514465332,0,45,0,30
0.05008435249328613,0,64,0,49
0.050201416015625,0,84,0,69
0.050099849700927734,0,101,0,86
0.0500941276550293,0,119,0,104
0.05019497871398926,0,136,0,121
0.05009269714355469,0,154,0,139
0.05036163330078125,0,172,0,157
0.05008649826049805,0,-171,0,175
0.050092458724975586,0,-153,0,-169
0.05008864402770996,0,-134,0,-150
0.0500950813293457,0,-117,0,-133
0.050084829330444336,0,-99,0,-115
0.05023789405822754,0,-82,0,-98
0.05008244514465332,0,-64,0,-81
0.05009055137634277,0,-47,0,-63
0.05008554458618164,0,-29,0,-46
0.05008363723754883,0,-11,0,-28
0.05009317398071289,0,6,0,-10
0.0500941276550293,0,24,0,7
0.05009126663208008,0,41,0,24
0.05008268356323242,0,58,0,40
0.050081491470336914,0,76,0,58
0.05008387565612793,0,92,0,74
0.05008721351623535,0,110,0,92
0.05008220672607422,0,127,0,108
0.05008840560913086,0,144,0,126
0.050079345703125,0,161,0,143
0.05008387565612793,0,179,0,161
0.050161123275756836,0,-166,0,177
0.050307512283325195,0,-147,0,-166
0.050093889236450195,0,-130,0,-150
0.050079345703125,0,-112,0,-131
0.050089359283447266,0,-95,0,-115
0.05008983612060547,0,-77,0,-97
0.050090789794921875,0,-61,0,-81
0.05009794235229492,0,-43,0,-63
0.05008268356323242,0,-20,0,-40
0.050185203552246094,0,-3,0,-23
0.05009770393371582,0,14,0,-6
0.050083160400390625,0,32,0,12
0.0500943660736084,0,50,0,29
0.0500950813293457,0,67,0,46
0.05008244514465332,0,85,0,63
0.050090789794921875,0,102,0,81
0.05007815361022949,0,119,0,97
0.05008888244628906,0,136,0,114
0.05009865760803223,0,154,0,132
0.0500795841217041,0,178,0,156
0.05008363723754883,0,-165,0,174
0.050096750259399414,0,-147,0,-170
0.05008125305175781,0,-130,0,-153
0.0500798225402832,0,-112,0,-136
0.05008268356323242,0,-95,0,-118
0.05008387565612793,0,-77,0,-101
0.05008339881896973,0,-60,0,-84
0.05008292198181152,0,-42,0,-66
0.05008387565612793,0,-25,0,-49
0.050084829330444336,0,-7,0,-31
0.05008554458618164,0,10,0,-14
0.05008983612060547,0,28,0,4
0.050243377685546875,0,46,0,21
0.05016613006591797,0,64,0,39
0.050093650817871094,0,81,0,56
0.05009293556213379,0,99,0,74
0.05010366439819336,0,116,0,91
0.050095558166503906,0,135,0,110
0.050084829330444336,0,152,0,127
0.05009651184082031,0,170,0,144
0.050093889236450195,0,-175,0,161
0.050100088119506836,0,-157,0,179
0.05022907257080078,0,-140,0,-166
0.05009722709655762,0,-121,0,-148
0.05008220672607422,0,-104,0,-131
0.050080060958862305,0,-86,0,-113
0.05008816719055176,0,-69,0,-96
0.05008697509765625,0,-52,0,-79
0.05008387565612793,0,-34,0,-62
0.050095558166503906,0,-17,0,-44
0.05007576942443848,0,8,0,-20
0.05009913444519043,0,25,0,-3
0.050076961517333984,0,42,0,14
0.05007004737854004,0,63,0,34
0.05007004737854004,0,80,0,51
0.05007481575012207,0,97,0,67
0.05007147789001465,0,115,0,86
0.05006861686706543,0,132,0,103
0.05006885528564453,0,149,0,120
0.050069570541381836,0,165,0,136
0.05006742477416992,0,-179,0,153
0.05006861686706543,0,-162,0,169
0.05006909370422363,0,-146,0,-175
0.05007123947143555,0,-128,0,-158
0.05006837844848633,0,-112,0,-142
0.05007433891296387,0,-95,0,-126
0.05007290840148926,0,-79,0,-110
0.05006909370422363,0,-61,0,-92
0.050067901611328125,0,-44,0,-76
0.050069332122802734,0,-28,0,-59
0.05006885528564453,0,-9,0,-41
0.05006766319274902,0,7,0,-24
0.050067901611328125,0,24,0,-7
0.05006885528564453,0,42,0,10
0.05006861686706543,0,58,0,26
0.05006909370422363,0,75,0,43
0.05007505416870117,0,92,0,59
0.05009889602661133,0,108,0,75
0.050075531005859375,0,125,0,92
0.05007362365722656,0,141,0,108
0.050069332122802734,0,158,0,125
0.05007052421569824,0,175,0,142
0.05006861686706543,0,-170,0,158
0.05007457733154297,0,-153,0,175
0.05006837844848633,0,-136,0,-170
0.050069332122802734,0,-120,0,-154
0.05007576942443848,0,-103,0,-138
0.05007362365722656,0,-85,0,-119
0.050075531005859375,0,-68,0,-103
0.05007433891296387,0,-49,0,-83
0.050092220306396484,0,-32,0,-67
0.05008053779602051,0,-16,0,-50
0.05006837844848633,0,1,0,-34
0.05007433891296387,0,18,0,-18
0.050073862075805664,0,34,0,-1
0.05006885528564453,0,51,0,15
0.050077199935913086,0,69,0,33
0.050070762634277344,0,86,0,49
0.05007147789001465,0,103,0,66
0.05007672309875488,0,119,0,83
0.05006885528564453,0,137,0,100
0.050069332122802734,0,156,0,119
0.05007314682006836,0,174,0,137
0.05007767677307129,0,-171,0,153
0.05007791519165039,0,-154,0,169
0.05006885528564453,0,-137,0,-175
0.05007529258728027,0,-121,0,-159
0.05006766319274902,0,-104,0,-142
0.05007028579711914,0,-87,0,-126
0.05006909370422363,0,-70,0,-109
0.050072669982910156,0,-45,0,-84
0.050069570541381836,0,-29,0,-68
0.05007338523864746,0,-12,0,-51
0.050070762634277344,0,4,0,-35
0.05007219314575195,0,21,0,-18
0.05007505416870117,0,38,0,-2
0.05007791519165039,0,54,0,14
0.050069332122802734,0,71,0,31
0.05006814002990723,0,88,0,47
0.05007576942443848,0,104,0,63
0.05007290840148926,0,121,0,80
0.050075531005859375,0,137,0,96
0.05011487007141113,0,154,0,113
0.05007815361022949,0,170,0,129
0.05006980895996094,0,-174,0,146
0.05006909370422363,0,-158,0,162
0.05007624626159668,0,-141,0,178
0.05007576942443848,0,-124,0,-166
0.050109148025512695,0,-107,0,-150
0.05008435249328613,0,-91,0,-133
0.05007481575012207,0,-74,0,-117
0.05007743835449219,0,-57,0,-100
0.05018281936645508,0,-40,0,-84
0.050099849700927734,0,-24,0,-67
0.05009627342224121,0,-6,0,-49
0.05010080337524414,0,12,0,-32
0.05009055137634277,0,30,0,-14
0.050095319747924805,0,50,0,6
0.05008506774902344,0,66,0,22
0.050095319747924805,0,84,0,39
0.05008339881896973,0,101,0,56
