delta,a_speed,a_position,b_speed,b_position
5.7220458984375e-06,0,0,0,0
0.05767703056335449,0,0,0,0
0.050078392028808594,0,0,0,0
0.050077199935913086,0,9,0,10
0.05007648468017578,0,33,0,35
0.05007600784301758,0,60,0,62
0.05013895034790039,0,89,0,91
0.05008840560913086,0,121,0,123
0.05007529258728027,0,151,0,151
0.05007481575012207,0,-169,0,-170
0.050079345703125,0,-140,0,-142
0.05007433891296387,0,-111,0,-114
0.050076961517333984,0,-81,0,-85
0.050077199935913086,0,-53,0,-57
0.05006861686706543,0,-22,0,-28
0.05010271072387695,0,7,0,1
0.05008101463317871,0,37,0,29
0.050148963928222656,0,66,0,57
0.05006861686706543,0,106,0,96
0.050218820571899414,0,138,0,127
0.05016183853149414,0,-176,0,173
0.050186872482299805,0,-146,0,-159
0.05010247230529785,0,-117,0,-131
0.05016374588012695,0,-88,0,-103
0.05007362365722656,0,-58,0,-74
0.050072669982910156,0,-29,0,-45
0.05006980895996094,0,0,0,-17
0.050073862075805664,0,30,0,11
0.050230979919433594,0,60,0,41
0.0500795841217041,0,91,0,71
0.05007505416870117,0,121,0,99
0.05007624626159668,0,150,0,128
0.050081729888916016,0,180,0,156
0.05007219314575195,0,-151,0,-176
0.0500788688659668,0,-121,0,-147
0.05007219314575195,0,-91,0,-118
0.05006980895996094,0,-61,0,-89
0.05007433891296387,0,-31,0,-60
0.05007457733154297,0,-1,0,-31
0.05007433891296387,0,28,0,-3
0.05007314682006836,0,58,0,26
0.05017685890197754,0,87,0,55
0.05006909370422363,0,116,0,83
0.050069332122802734,0,146,0,112
0.05006980895996094,0,175,0,140
0.05007052421569824,0,-156,0,169
0.05007648468017578,0,-126,0,-163
0.050069332122802734,0,-96,0,-134
0.05007028579711914,0,-64,0,-103
0.05007195472717285,0,-34,0,-74
0.05007171630859375,0,-1,0,-42
0.050072669982910156,0,28,0,-14
0.05018949508666992,0,58,0,15
0.05007195472717285,0,90,0,46
0.05007624626159668,0,120,0,76
0.05006837844848633,0,149,0,104
0.05007362365722656,0,179,0,133
0.050078392028808594,0,-153,0,161
0.05007028579711914,0,-123,0,-171
0.05010223388671875,0,-93,0,-142
0.05006885528564453,0,-63,0,-112
0.05008530616760254,0,-34,0,-84
0.05006980895996094,0,-4,0,-55
0.05006909370422363,0,25,0,-27
0.05006909370422363,0,55,0,2
0.05007576942443848,0,84,0,30
0.050067901611328125,0,113,0,59
0.05006909370422363,0,142,0,87
0.05007576942443848,0,174,0,117
0.05008339881896973,0,-157,0,146
0.050070762634277344,0,-128,0,174
0.05007505416870117,0,-99,0,-159
0.05008101463317871,0,-69,0,-129
0.05008530616760254,0,-39,0,-100
0.05008125305175781,0,-10,0,-72
0.05024886131286621,0,22,0,-42
0.05017423629760742,0,53,0,-11
0.050087690353393555,0,85,0,20
0.05012083053588867,0,116,0,50
0.05009174346923828,0,148,0,81
0.05019330978393555,0,179,0,111
0.050095558166503906,0,-151,0,141
0.05019640922546387,0,-120,0,172
0.05013704299926758,0,-88,0,-159
0.050304412841796875,0,-57,0,-129
0.050084829330444336,0,-26,0,-99
0.05008411407470703,0,4,0,-69
0.05009937286376953,0,36,0,-39
0.05008411407470703,0,67,0,-9
0.05008673667907715,0,99,0,22
0.05008697509765625,0,129,0,51
0.0500950813293457,0,159,0,81
0.05009007453918457,0,-170,0,111
0.05008840560913086,0,-139,0,141
0.0500948429107666,0,-108,0,171
0.05024456977844238,0,-75,0,-158
0.050092220306396484,0,-44,0,-128
0.0500950813293457,0,-12,0,-97
0.05009269714355469,0,19,0,-67
0.05008387565612793,0,49,0,-38
0.05008673667907715,0,80,0,-8
0.05008292198181152,0,111,0,22
0.0503382682800293,0,141,0,52
0.05025911331176758,0,173,0,83
0.050228118896484375,0,-157,0,112
0.050102949142456055,0,-126,0,143
0.05009317398071289,0,-94,0,173
0.050179243087768555,0,-62,0,-156
0.05008816719055176,0,-31,0,-126
0.05022716522216797,0,1,0,-96
0.0500946044921875,0,32,0,-66
0.050095319747924805,0,63,0,-35
