delta,Rx_acc,Rx_velocity,Rx_degrees,Ry_acc,Ry_velocity,Rr_degrees,Rz_acc,Rz_velocity,Rz_degrees
1.4066696166992188e-05,-1.7354,-0.1221,102.008,0.0913,9.0332,168.893,0.3311,-0.2441,71.367
0.07525920867919922,-1.7471,0.0,104.403,0.0864,11.4136,169.986,0.3364,0.3052,73.856
0.03290891647338867,-1.7471,0.0,104.403,0.0864,11.4136,169.986,0.3364,0.3052,73.856
0.023110389709472656,-1.7524,0.1221,105.414,0.0923,7.0801,170.31,0.3394,0.6104,74.894
1.029496669769287,-2.3638,2.0752,93.972,0.1143,-281.0669,147.491,0.8872,-4.3335,57.14
0.019896268844604492,-2.2236,4.3945,90.758,0.0776,-362.6709,131.523,0.9004,-7.0801,52.982
0.020671606063842773,-2.2236,4.3945,90.758,0.0776,-362.6709,131.523,0.9004,-7.0801,52.982
0.025323867797851562,-1.9512,0.7935,89.467,0.0298,-334.5947,115.032,1.0103,-5.3101,50.323
0.020374536514282227,-1.9512,0.7935,89.467,0.0298,-334.5947,115.032,1.0103,-5.3101,50.323
0.019562482833862305,-1.4463,0.4883,89.171,0.0586,-181.3965,103.03,1.2349,-2.1973,48.543
0.024783611297607422,-1.4463,0.4883,89.171,0.0586,-181.3965,103.03,1.2349,-2.1973,48.543
0.019945383071899414,-1.3091,-0.6104,89.324,0.1216,-34.4238,99.058,1.2969,-0.7935,47.532
0.02330470085144043,-1.3091,-0.6104,89.324,0.1216,-34.4238,99.058,1.2969,-0.7935,47.532
0.018197059631347656,-1.3091,-0.6104,89.324,0.1216,-34.4238,99.058,1.2969,-0.7935,47.532
0.01993846893310547,-1.4136,-1.2817,89.561,0.1304,110.4736,103.332,1.3237,2.8687,47.428
0.022261619567871094,-1.4136,-1.2817,89.561,0.1304,110.4736,103.332,1.3237,2.8687,47.428
0.02004384994506836,-1.7944,-1.3428,90.027,0.0806,260.0708,114.659,1.1987,3.6621,48.268
0.03048849105834961,-1.7944,-1.3428,90.027,0.0806,260.0708,114.659,1.1987,3.6621,48.268
0.024540185928344727,-2.0869,-0.7324,91.181,0.0503,300.8423,129.556,1.1006,4.5776,50.114
0.019643783569335938,-2.0869,-0.7324,91.181,0.0503,300.8423,129.556,1.1006,4.5776,50.114
0.019727706909179688,-2.0869,-0.7324,91.181,0.0503,300.8423,129.556,1.1006,4.5776,50.114
0.02433156967163086,-2.3076,0.6714,93.527,0.0708,251.4648,143.767,1.0625,5.127,53.196
0.01991438865661621,-2.3076,0.6714,93.527,0.0708,251.4648,143.767,1.0625,5.127,53.196
0.0185699462890625,-2.3081,0.2441,96.905,0.1201,157.7759,153.402,1.0806,3.2349,57.09
0.025550365447998047,-2.3081,0.2441,96.905,0.1201,157.7759,153.402,1.0806,3.2349,57.09
0.02134847640991211,-2.3105,0.5493,98.069,0.1138,-22.7051,155.825,1.0713,-0.3662,58.497
0.024830341339111328,-2.3105,0.5493,98.069,0.1138,-22.7051,155.825,1.0713,-0.3662,58.497
0.01969432830810547,-2.2778,0.4883,95.641,0.1069,-130.7373,151.441,1.04,-2.5024,55.92
0.022568941116333008,-2.2778,0.4883,95.641,0.1069,-130.7373,151.441,1.04,-2.5024,55.92
0.020019054412841797,-2.2778,0.4883,95.641,0.1069,-130.7373,151.441,1.04,-2.5024,55.92
0.01946544647216797,-2.1934,2.3193,92.587,0.0752,-231.3843,141.905,1.0205,-3.9673,52.399
0.023936033248901367,-2.1934,2.3193,92.587,0.0752,-231.3843,141.905,1.0205,-3.9673,52.399
0.023309707641601562,-2.0327,1.6479,90.714,0.0581,-242.6147,130.485,1.0791,-3.7842,49.774
0.03111863136291504,-2.0327,1.6479,90.714,0.0581,-242.6147,130.485,1.0791,-3.7842,49.774
0.02316904067993164,-1.7363,1.1597,89.857,0.1099,-174.9878,120.855,1.1807,-2.8076,48.043
0.026912927627563477,-1.7363,1.1597,89.857,0.1099,-174.9878,120.855,1.1807,-2.8076,48.043
0.01909470558166504,-1.5972,0.0,89.594,0.1016,-83.374,115.763,1.2505,-1.0376,47.049
0.0228579044342041,-1.5972,0.0,89.594,0.1016,-83.374,115.763,1.2505,-1.0376,47.049
0.018724918365478516,-1.6177,-2.1362,89.648,0.1006,66.5894,117.021,1.2979,1.5869,46.818
0.01809215545654297,-1.6177,-2.1362,89.648,0.1006,66.5894,117.021,1.2979,1.5869,46.818
0.024968862533569336,-1.6177,-2.1362,89.648,0.1006,66.5894,117.021,1.2979,1.5869,46.818
0.02212667465209961,-1.7598,0.0,90.027,0.083,139.5874,123.261,1.2632,2.0142,47.296
0.018914461135864258,-1.7598,0.0,90.027,0.083,139.5874,123.261,1.2632,2.0142,47.296
0.018210172653198242,-2.0054,-0.8545,90.868,0.0942,191.5283,132.528,1.1914,3.2349,48.494
0.018042325973510742,-2.0054,-0.8545,90.868,0.0942,191.5283,132.528,1.1914,3.2349,48.494
1.0890228748321533,-1.9824,-0.061,90.286,0.0835,29.6631,140.894,1.2349,0.4272,47.51
0.019108295440673828,-1.9824,-0.061,90.286,0.0835,29.6631,140.894,1.2349,0.4272,47.51
0.019132137298583984,-2.0098,0.0,90.423,0.0879,17.8833,142.224,1.2266,0.1831,47.664
0.02420496940612793,-2.0098,0.0,90.423,0.0879,17.8833,142.224,1.2266,0.1831,47.664
0.01944255828857422,-2.0098,0.0,90.423,0.0879,17.8833,142.224,1.2266,0.1831,47.664
0.020412206649780273,-2.0161,0.0,90.461,0.0918,6.1035,142.888,1.2207,0.061,47.708
0.021164894104003906,-2.0161,0.0,90.461,0.0918,6.1035,142.888,1.2207,0.061,47.708
0.028983592987060547,-1.9956,0.061,90.385,0.0908,-9.5215,142.795,1.2085,-0.1221,47.593
0.020982027053833008,-1.9956,0.061,90.385,0.0908,-9.5215,142.795,1.2085,-0.1221,47.593
0.019740819931030273,-1.9751,0.3662,90.264,0.0903,-11.9019,142.372,1.1978,-0.1831,47.411
0.03203916549682617,-1.9751,0.3662,90.264,0.0903,-11.9019,142.372,1.1978,-0.1831,47.411
0.02640700340270996,-1.9614,-0.061,90.159,0.0864,-5.3711,142.108,1.1968,-0.1221,47.258
0.022802352905273438,-1.9614,-0.061,90.159,0.0864,-5.3711,142.108,1.1968,-0.1221,47.258
0.018006086349487305,-1.9604,0.0,90.104,0.0908,0.1831,142.152,1.2036,0.0,47.17
0.03234386444091797,-1.9604,0.0,90.104,0.0908,0.1831,142.152,1.2036,0.0,47.17
0.019214391708374023,-1.9761,-0.1221,90.088,0.0918,4.1504,142.454,1.2124,0.0,47.131
0.022745370864868164,-1.9761,-0.1221,90.088,0.0918,4.1504,142.454,1.2124,0.0,47.131
0.021099090576171875,-1.9863,-0.061,90.077,0.0898,2.5635,142.762,1.2139,0.0,47.093
0.01803755760192871,-1.9863,-0.061,90.077,0.0898,2.5635,142.762,1.2139,0.0,47.093
0.019039154052734375,-1.9863,-0.061,90.077,0.0898,2.5635,142.762,1.2139,0.0,47.093
0.01900458335876465,-1.9824,0.0,90.033,0.0864,-2.0142,142.861,1.2134,0.0,47.027
0.08434438705444336,-1.9731,0.061,89.978,0.0869,-2.9907,142.85,1.208,0.0,46.945
0.017939329147338867,-1.9678,0.0,89.94,0.0923,0.2441,142.916,1.2041,0.0,46.873
