delta,Rx_acc,Rx_velocity,Rx_degrees,Ry_acc,Ry_velocity,Rr_degrees,Rz_acc,Rz_velocity,Rz_degrees
1.3828277587890625e-05,-1.8726,0.061,2.791,0.0684,0.4883,53.773,1.3794,-0.2441,133.808
0.32884669303894043,-1.8965,0.4272,2.823,0.063,2.8076,53.998,1.3589,0.3662,133.83
0.07529473304748535,-1.8818,-0.1221,2.856,0.0742,0.9155,54.229,1.3691,0.0,133.649
0.02181529998779297,-1.8818,-0.1221,2.856,0.0742,0.9155,54.229,1.3691,0.0,133.649
0.06020402908325195,-1.8569,-0.2441,2.851,0.0869,2.9907,54.366,1.3774,-0.1221,133.462
0.13588881492614746,-1.8911,25.1465,3.005,0.1138,90.4541,58.711,1.2153,-13.1836,132.825
0.13020849227905273,-1.9927,15.9302,14.81,0.0322,205.8716,82.485,0.8071,-1.5869,141.993
0.020131587982177734,-1.9927,15.9302,14.81,0.0322,205.8716,82.485,0.8071,-1.5869,141.993
0.019464492797851562,-2.0898,5.0659,137.626,0.168,188.9038,87.413,0.6362,-1.0986,-96.246
0.02165365219116211,-2.0898,5.0659,137.626,0.168,188.9038,87.413,0.6362,-1.0986,-96.246
0.022353172302246094,-2.0571,7.5684,169.058,0.1191,143.2495,80.464,0.5059,6.2866,-65.5
0.12494587898254395,-2.0127,3.1738,174.188,0.0425,10.0098,74.454,0.4614,0.3052,-61.891
0.10412073135375977,-2.0239,-2.5024,170.118,0.0688,-120.4834,81.985,0.5317,-1.8311,-67.159
0.1436905860900879,-1.9741,-7.2021,2.999,0.0952,-177.4902,71.993,0.8296,-1.709,124.733
0.02467203140258789,-1.9741,-7.2021,2.999,0.0952,-177.4902,71.993,0.8296,-1.709,124.733
0.02604055404663086,-1.9058,-7.3242,1.763,0.0703,-139.5874,64.199,0.9941,-1.709,123.338
0.026744842529296875,-1.8608,-6.1646,1.203,0.0459,-98.877,58.579,1.0928,-0.4883,122.712
0.025781869888305664,-1.8608,-6.1646,1.203,0.0459,-98.877,58.579,1.0928,-0.4883,122.712
0.024531126022338867,-1.814,-0.2441,1.027,0.0371,-24.1089,56.025,1.166,-0.061,122.498
0.027230501174926758,-1.814,-0.2441,1.027,0.0371,-24.1089,56.025,1.166,-0.061,122.498
0.01937413215637207,-1.814,-0.2441,1.027,0.0371,-24.1089,56.025,1.166,-0.061,122.498
0.021053791046142578,-1.8223,0.6104,1.088,0.0562,28.6255,56.558,1.1787,-0.8545,122.371
0.01927471160888672,-1.8223,0.6104,1.088,0.0562,28.6255,56.558,1.1787,-0.8545,122.371
0.020765066146850586,-1.8755,4.0894,1.313,0.0679,94.1772,60.084,1.1011,-0.061,122.261
0.01978015899658203,-1.8755,4.0894,1.313,0.0679,94.1772,60.084,1.1011,-0.061,122.261
0.021001100540161133,-1.8755,4.0894,1.313,0.0679,94.1772,60.084,1.1011,-0.061,122.261
0.020476818084716797,-1.9204,5.4321,1.994,0.0786,126.8921,65.704,1.0186,1.3428,122.399
0.020238161087036133,-1.9204,5.4321,1.994,0.0786,126.8921,65.704,1.0186,1.3428,122.399
0.01975560188293457,-1.9902,6.6528,3.417,0.0791,153.5645,72.729,0.8765,1.5259,123.162
0.01943182945251465,-1.9902,6.6528,3.417,0.0791,153.5645,72.729,0.8765,1.5259,123.162
0.01910543441772461,-1.9902,6.6528,3.417,0.0791,153.5645,72.729,0.8765,1.5259,123.162
0.019238948822021484,-2.0249,6.3477,6.57,0.0752,153.1982,80.002,0.7739,1.4038,125.607
0.019006013870239258,-2.0249,6.3477,6.57,0.0752,153.1982,80.002,0.7739,1.4038,125.607
0.019078969955444336,-2.0396,6.0425,20.16,0.0776,127.1362,86.336,0.6514,3.6011,138.516
0.01953411102294922,-2.0396,6.0425,20.16,0.0776,127.1362,86.336,0.6514,3.6011,138.516
0.019939184188842773,-2.0396,6.0425,20.16,0.0776,127.1362,86.336,0.6514,3.6011,138.516
0.0198819637298584,-2.0425,2.6245,136.741,0.0742,96.3135,88.077,0.6094,1.0986,-105.48
0.019905567169189453,-2.0425,2.6245,136.741,0.0742,96.3135,88.077,0.6094,1.0986,-105.48
0.019709110260009766,-2.0293,1.2207,162.515,0.0869,36.0718,86.012,0.5527,-1.2207,-80.25
0.02298426628112793,-2.0293,1.2207,162.515,0.0869,36.0718,86.012,0.5527,-1.2207,-80.25
0.01980280876159668,-2.0293,1.2207,162.515,0.0869,36.0718,86.012,0.5527,-1.2207,-80.25
0.01940774917602539,-2.0249,-0.9766,162.751,0.0684,-9.9487,86.254,0.5483,-0.061,-80.414
0.02004241943359375,-2.0249,-0.9766,162.751,0.0684,-9.9487,86.254,0.5483,-0.061,-80.414
0.020416259765625,-2.0249,-2.9907,119.745,0.1035,-70.0073,88.72,0.5771,0.0,-123.805
0.019004344940185547,-2.0249,-2.9907,119.745,0.1035,-70.0073,88.72,0.5771,0.0,-123.805
0.01932501792907715,-2.0249,-2.9907,119.745,0.1035,-70.0073,88.72,0.5771,0.0,-123.805
0.020639896392822266,-2.0161,-2.4414,13.942,0.083,-101.1353,85.6,0.6279,-0.8545,130.073
0.02021336555480957,-2.0161,-2.4414,13.942,0.083,-101.1353,85.6,0.6279,-0.8545,130.073
0.02032613754272461,-2.0171,-5.7373,5.521,0.0747,-130.4321,79.349,0.7095,-0.1221,121.421
0.0228879451751709,-2.0171,-5.7373,5.521,0.0747,-130.4321,79.349,0.7095,-0.1221,121.421
0.019802570343017578,-1.9917,-5.8594,3.12,0.0684,-133.667,72.598,0.79,-1.5259,118.927
0.01970648765563965,-1.9917,-5.8594,3.12,0.0684,-133.667,72.598,0.79,-1.5259,118.927
0.01968097686767578,-1.9917,-5.8594,3.12,0.0684,-133.667,72.598,0.79,-1.5259,118.927
0.019716501235961914,-1.9536,-4.9438,1.923,0.0552,-115.9058,66.401,0.9102,-2.1362,117.631
0.020025253295898438,-1.9536,-4.9438,1.923,0.0552,-115.9058,66.401,0.9102,-2.1362,117.631
0.019250869750976562,-1.9536,-4.9438,1.923,0.0552,-115.9058,66.401,0.9102,-2.1362,117.631
0.019780874252319336,-1.9048,-3.9062,1.445,0.0698,-75.0732,61.589,1.0205,-0.1221,117.098
0.02156543731689453,-1.9048,-3.9062,1.445,0.0698,-75.0732,61.589,1.0205,-0.1221,117.098
0.01938605308532715,-1.8765,-0.8545,1.274,0.082,-38.147,58.914,1.0581,-0.7324,116.834
0.019356250762939453,-1.8765,-0.8545,1.274,0.082,-38.147,58.914,1.0581,-0.7324,116.834
0.01937270164489746,-1.8765,-0.8545,1.274,0.082,-38.147,58.914,1.0581,-0.7324,116.834
0.019228458404541016,-1.8833,0.061,1.258,0.0669,20.3247,58.618,1.0747,-0.1221,116.664
0.020197153091430664,-1.8833,0.061,1.258,0.0669,20.3247,58.618,1.0747,-0.1221,116.664
0.01915264129638672,-1.9082,0.061,1.478,0.0723,54.0771,60.573,1.0469,1.0376,116.702
0.019865036010742188,-1.9082,0.061,1.478,0.0723,54.0771,60.573,1.0469,1.0376,116.702
0.02247929573059082,-1.9082,0.061,1.478,0.0723,54.0771,60.573,1.0469,1.0376,116.702
0.019175052642822266,-1.9492,3.8452,1.912,0.0566,90.0269,64.215,0.9814,0.0,116.818
0.01912379264831543,-1.9492,3.8452,1.912,0.0566,90.0269,64.215,0.9814,0.0,116.818
0.019006013870239258,-1.9785,4.9438,2.664,0.0679,104.248,68.972,0.8989,0.7324,117.125
