delta,a_speed,a_position,b_speed,b_position
0.2723832130432129,0,13745,0,15664
0.02346968650817871,9,13770,11,15691
0.02322220802307129,36,13802,41,15724
0.024565696716308594,68,13840,72,15759
0.023754596710205078,88,13881,87,15800
0.022725820541381836,98,13910,96,15838
0.02424931526184082,104,13957,106,15883
0.022279739379882812,105,13994,111,15919
0.02779674530029297,108,14038,111,15959
0.023860454559326172,110,14081,107,16002
0.026162385940551758,112,14127,108,16048
0.022773265838623047,113,14163,112,16085
0.024464845657348633,113,14200,114,16119
0.025383472442626953,111,14234,109,16157
0.023214340209960938,111,14276,106,16196
0.023739099502563477,112,14315,111,16237
0.026295900344848633,111,14358,116,16280
0.02470993995666504,112,14402,114,16320
0.02722787857055664,113,14447,109,16363
0.025806188583374023,114,14493,109,16410
0.02317523956298828,115,14529,113,16447
0.022869348526000977,114,14574,114,16486
0.023162126541137695,113,14618,109,16531
0.024999618530273438,113,14661,109,16577
0.02663135528564453,112,14710,115,16627
0.02320098876953125,112,14749,115,16662
0.02439260482788086,113,14788,111,16699
0.02282857894897461,114,14827,108,16739
0.02681875228881836,116,14872,112,16785
0.023026227951049805,115,14909,115,16821
0.022803306579589844,113,14949,113,16856
0.022674083709716797,113,14997,108,16906
0.022870540618896484,113,15036,111,16948
0.025027036666870117,113,15079,116,16993
0.02743220329284668,113,15125,116,17032
0.024258136749267578,114,15164,111,17071
0.024197101593017578,115,15210,109,17117
0.023176908493041992,116,15247,113,17156
0.02419304847717285,115,15286,116,17191
0.022710561752319336,113,15325,112,17229
0.023662805557250977,114,15362,109,17268
0.024959087371826172,114,15406,112,17315
0.027313232421875,113,15451,117,17359
0.02264118194580078,113,15490,116,17394
0.026236772537231445,115,15535,111,17439
0.027365922927856445,116,15581,111,17486
0.024111032485961914,116,15618,115,17524
0.02642512321472168,114,15663,116,17563
0.026879310607910156,113,15706,110,17609
0.02290654182434082,113,15745,109,17649
0.02510356903076172,113,15784,115,17690
0.023285627365112305,114,15823,118,17727
0.023227214813232422,114,15862,116,17762
0.024384498596191406,115,15902,111,17801
0.02275228500366211,116,15947,111,17849
0.022983312606811523,116,15984,115,17886
0.025179386138916016,115,16024,116,17922
0.024015188217163086,114,16063,112,17962
0.02595663070678711,114,16107,111,18008
0.02780437469482422,113,16151,116,18054
0.021933555603027344,114,16196,118,18091
0.023809432983398438,115,16230,115,18128
0.02367854118347168,116,16270,112,18167
0.025040388107299805,117,16314,113,18215
0.027537822723388672,116,16358,117,18258
0.026206254959106445,114,16404,115,18299
0.02669811248779297,114,16447,111,18345
0.023288488388061523,115,16486,113,18387
0.022773027420043945,114,16525,118,18428
0.02782607078552246,114,16570,119,18468
0.022904157638549805,116,16610,114,18508
0.027789831161499023,116,16656,111,18554
0.02300238609313965,117,16693,115,18594
0.023802518844604492,116,16733,118,18631
0.02482914924621582,115,16772,115,18669
0.02754974365234375,115,16816,112,18715
0.027464628219604492,114,16860,115,18763
0.02674555778503418,114,16905,119,18806
0.023313045501708984,115,16945,117,18842
0.02733778953552246,116,16991,112,18888
0.025645732879638672,118,17035,114,18936
0.023916244506835938,117,17080,118,18979
0.022327184677124023,114,17120,116,19014
0.02824258804321289,114,17162,112,19061
0.02455592155456543,115,17207,114,19109
0.018387556076049805,115,17253,119,19149
0.0187835693359375,115,17286,121,19180
0.028101682662963867,116,17326,116,19225
0.020886898040771484,117,17373,112,19266
0.02414250373840332,117,17405,115,19306
0.026586532592773438,116,17450,119,19348
0.027451515197753906,115,17495,115,19393
0.02362537384033203,115,17533,112,19433
0.02340865135192871,115,17572,115,19475
0.02798771858215332,114,17618,119,19520
0.027390003204345703,115,17663,118,19561
0.02345132827758789,116,17703,114,19601
0.027352571487426758,118,17749,114,19650
0.026211977005004883,117,17792,118,19693
0.025643587112426758,115,17849,116,19747
0.024091482162475586,115,17888,112,19788
0.027881860733032227,115,17932,116,19837
0.02297806739807129,115,17978,121,19877
0.026875019073486328,115,18017,120,19918
0.020805835723876953,116,18063,115,19958
0.027698993682861328,118,18103,114,20006
0.023050546646118164,118,18147,117,20045
0.02778172492980957,116,18188,119,20086
0.026911497116088867,115,18231,114,20132
0.019370079040527344,116,18271,113,20169
0.026883363723754883,115,18309,118,20215
0.026009798049926758,115,18355,120,20257
0.019654273986816406,116,18400,116,20296
0.02741861343383789,117,18442,113,20343
0.01894688606262207,118,18485,116,20385
0.019993305206298828,118,18524,119,20422
0.027100086212158203,115,18565,117,20465
0.02492547035217285,115,18609,112,20511
0.032269954681396484,116,18665,118,20572
0.027141332626342773,116,18716,122,20619
0.0197296142578125,117,18762,117,20659
0.025719642639160156,117,18803,113,20706
0.020309925079345703,118,18847,116,20748
0.022789716720581055,117,18892,120,20789
0.019487619400024414,116,18932,117,20829
0.022379398345947266,116,18976,113,20876
0.019815444946289062,116,19015,117,20918
0.019733428955078125,115,19055,121,20958
0.019328832626342773,115,19095,120,20994
0.021190404891967773,117,19135,116,21034
0.02046370506286621,119,19177,114,21077
0.021802902221679688,119,19221,119,21123
0.02590346336364746,117,19260,120,21163
0.018627643585205078,116,19305,115,21205
